Futures Contract, Date, Time,Notes,Good Moment (Y|N|N/A)?
/MCL,11/1/23,8:38 AM,"Hard to know price direction. Also, something is wrong with my orders. I found myself accidentally in a trade again. I closed for a profit of $77 which is awesome, but I'm pretty sure I closed all of my MCL orders yesterday so this is bad. Anyway, MCL is up today and hovering around 82.90. Significant bullish price movement from 81.04 @ 12am to 83.42 @ 8am. What's cool is seeing the cycles! I actually probably just didn't remember this trade from yesterday lol. I purchased yesterday at 11am! And price went down a ton! And today I closed for a nice profit at 82.88! So there are swing trading opportunities! BUT, THIS WAS A BAD TRADE BECAUSE IT WAS A DAY TRADE TURNED INTO A SWING TRADE INSTEAD OF ORIGINALLY BEING A SWING TRADE. Anyway, my mind is oppening up to the numerous possibilities of profiting in the market. IT REALLY IS A PATIENCE GAME. THE KEY IS THAT OTHER TRADERS BECOME IMPATIENT TOO. So if I'm playing the same game as they are and am trying to close for a profit as soon as possible, they will stop me out at least 80% of the time. But if I play a different game where I don't have to profit immediately, then they will get bored and focus on what other traders are doing in the market! On 15m chart, price is decreasing so it was good to sell. On the 5m chart, price bounced at 82.60 ",N 
/MES,11/1/23,8:40 AM,"Time value of money is what it's all about. I decided to hold my accidentally open positions on MES and price keeps climbing higher. So now it feels like I'm locked into MES with a significant loss of $450 whereas I could have cut my loss of  for as low as ~$80 yesterday. The hard part about this is that now I can't trade MES until either price comes back around and I close for a small profit or I accept the loss. I disobeyed the rule of ""Never let a day trade become a swing trade."" Although I never planned to enter into this trade. So lessons being learned. Thank God this is a simulator trade. I will be able to get my money back on MES within a few days or a week. Again, the question is whether or not that's okay from a time-value opportunity cost ",N 
/ES,11/1/23,8:47 AM,Scaling up is starting to come naturally as I made my first ES trade on bullish momentum of the ES and earned $112.50. Observe the psychology of my trade and how it ties in with my career history. The trade was from 4221.25 to 4223.50 and price climbed as high as 4227. Today I need to learn how OCO orders in Ninja Trader work ,Y
/MYM,11/1/23,8:51 AM,"Current price  $33162. Price is slightly bullish on the daily chart. Price may return to 33400. Hourly chart shows bullish momentum kicking in at 7am. 15m chart shows some ambivalence around price direction with price reaching a high of 33205 at 8:15am, falling to a low of 33087, and climbing back up to a high of 33184. Entered long on a huge price spike to 33239 ",Y
/NG,11/1/23,9:19 AM,"Natural gas had a significant sell off today from 3.608 to 3.428 on the daily chart and price is bouncing bullishly. Same sell off on the 1hr chart. On the 15min chart, there's a bounce so I went long at 3.444 towards 3.458. ",Y
/MYM,11/1/23,9:22 AM,Nice quality trade from 33239 to 33258 for $19 profit. The MYM is $1 profit per tick. Nice automated limit order exit  ,Y
/NG,11/1/23,9:24 AM,Nice quality trade from 3.444 (#Angels) to 3.458 for a profit of $140 with an automated limit order exit. I'm starting to get this! EVERYTHING IS IN PLAY TODAY! ,Y
Daily Reflection,11/1/23,10:51 AM,"Amazing trading day! Everything was in play today! I'm learning more about *cycles* and *patience*. It's not so much, ""Hey I'm trying to make a certain amount of money in the market today."" It's way more, ""Where are we in a specific cycle of a specific financial instrument, what profitable decisions can be made within this cycle, and from these decisions, what decisions can I make that are effective for my personalities (strengths + interests). I learned that ATMs are Automated Trade Managements and are synonymous with OCO. I also learned that it's way more effective to just set ticks instead of prices. And the aha moment is that setting prices doesn't make sense because a financial instrument may not be able to tick to a custom price! Anyway, Ninja Trader ATM with ticks is OCO and this solves my problem of not closing automated orders. A question is, ""What happens if I cancel an order from OCO and add a new automated exit/stop?"" How can I make it part of OCO?",Y
/MES,11/2/23,9:15 AM,"My accidental entry trade is down $1240 now on what I could have stopped out on at $80-100! I still feel price will come back down after this rally ends and that we'll see a new low and I'll close at a profit. That said, in my live account I won't be able to do a trade like this because it'll blow up my account. I'll get margin called and won't be able to keep trading. Anyway, a bullish breakout has happened and is continuing!",N 
/ES,11/2/23,9:17 AM,"I entered long on the ES based on the bullish breakout still happening. I entered at 4301.75 on the daily chart. Price is back at supply and seems like it may be breaking through supply. Everything is way easier when the market is in play! On the 1hr chart, price had a consolidation at $4260 at 6pm on 11/2/2023 @ 6pm and kept going up to $4300 this morning. I imagine we'll see $4333 again. On 15m chart, price has nice consolidation around $4300 and has gas to push through resistance at $4310.  ",Y
/MCL,11/2/23,9:25 AM,"Price has fallen through the demand zone I drew (I should have went short!) and bounced off $80 on the daily chart. Observe how MCL is not correlated with ES! Current price is 81.40. Strong rejection at 80.23. Also, resistance at $82. Price is range trading in a weird way where price direction isn't clear on 1hr. On 15m price is much clearer and typical of MCL. Price reached a high of ~$82, and fell back to 15m demand at $81.20. This requires waiting until the market determines price direction to make a trade. Could go back to $81 or back to $82",Y
/ES,11/2/23,9:33 AM,"My automated exit got filled and I earned $725 in gross profit ($713.84 net profit ($11.16 in fees)))! Adam Fiske is right! As soon as my automated sell stop exit got filled and I saw how much I earned, all I felt was, ""Whoa, price will probably keep going up! I should re-enter!"" So I won't lol. I'll wait a bit to see what price is doing. The dopamine hit is real. Also, I have some mindset issues to resolve because it's like I'm trying to balance my account back to $0 instead of profit. Emotionally I want to make up for the now $1375 unrealized loss I'm facing instead of focusing on high quality trades. Adam Fiske is right again! Instead of focusing solely on trade quality, I'm focusing  a significant part of my emotions on P&L!",Y
/NG,11/2/23,9:38 AM,"Current price is $3.425 and NG is facing the completion of a bullish engulfing candle reversal. 1hr chart shows really interesting ambivalent doji-style price direction with a wide range. Price reached a high of $3.453 and a low of $3.401. I wouldn't trade this because while candlestick bodies are bullish this price movement is similar to what I've seen sometimes on MCL where the choppiness easily reverses a trade, creating multiple stop losses, and causing confusion. 15m and 5m charts show the same choppiness. At best I can say that price has consolidated around 3.430 and has a wide range. NG is not in play right now!",Y
/MYM,11/2/23,9:45 AM,MYM is in play with 400 points of bullish momentum today alone! Current price is 33715 with a solid breakout. 1hr chart shows price consolidating during the night around 33338 and further bullish breakout energy starting at 3am. 7am and 9am have seen this continued energy. Price is at a new supply zone and may break through to retest 33981. 15min chart shows price facing resistance at 33715. 5m chart shows price also facing resistance. Have to wait to see if price will continue rising or if it will sell off from this supply zone ,Y
Daily Reflection,11/2/23,12:47 AM,"Today was incredibly humbling 🙏. I finally reached my point of failure & exhaustion, in both my spirit and my mind. This is where growth truly occurs. I was down at an unrealized loss of -$4000 on the ES and I started questioning whether or not God loves me & my family (even though I know in my heart that God always loves us. God loves everyone and the entire world, including all living beings, and including the entire universe or universes or however the inifinite works.). It wasn't so much being down -$4000. It was that I entered into what was (at the time) a high-quality, high-probability, scaled up trade, where I was super excited that I was starting to grasp how scaling works in practice and how hedging works in practice. As soon as I entered and had it on my mind this plan of earning $5000 from the bullish momentum and being able to close my accidental MES trade that I, being foolish and undisciplined, allowed to become a swing trade with a significant loss of -$1400, price consolidated and started reversing. And I really thought, ""Why me and my family?"" ""Why is it that Joovier on YouTube is like, 'And I just made another $11000 on the YM!' and I'm down several thousand (unrealized) and my mom is suffering and didn't return to work because people mistreated her. Am I not a good person? Am I a bad person? I know I've done some bad things, including watching porn. But what about all of the good I've done and how I've focused on giving to many people & organizations without asking in return."" This point of failure pushed me into thinking about David's messages from Psalms where we get to see how he wrestled with his battles. How he was afraid and questioned God, wondering why God let his enemies close in on him. And how this is how David felt even though the Lord kept delivering him. Even though the Lord kept fighting his battles and allowing victories. I felt human like David. And I wanted to give up. I even thought, ""All I want to do is give this to other people, beautiful people so we can restore kindness, respect, and creativity to the world. And yet how can I give Financial Prosperity to others if I can't even attain & experience it myself."" And in that moment I let go and I trusted God. Not explicitly. I didn't say, ""I'm letting go and trusting God."" I just kind of felt, ""I've waited twice now for price to break through and there's not even solid historical resistance at $4320. Price should be able to easily break through to $4333 and above to $4340. Price is climbing back up towards $4320 again. This time I'll let go, see what happens, and close the trade if I'm wrong."" And in letting go, I focused my mind on inspirational videos from some of my heroes instead of the market - videos named ""To Push Past Your Limits"" and ""Give It Your All"". These videos reminded me to keep putting in the work. They reminded me of the hard times David Goggins went through to acquire his strength. They reminded me of what Mike Tyson said about the importance of discipline. They reminded me of what Kevin Hart said about how hard it is to show up and give something your all, your 100% and not see results. And to feel that pain deep down of, ""That was my best."" and to dig deep and find it within yourself to show back up the next day and go harder! And I'm finding myself again! I remember now what my college roommate Obinna said to me after I failed my first physics exam in September 2008 at MIT and said, ""I tried my best."" He said: ""You don't know what your best is!"" and encouraged me to keep going! It's been a really long time since I've tried my best at something and failed or felt like a failure. In letting go, price came back around a brought bullish momentum. I was able to close my scaled-up trade for a profit of $1000+ and cover my accidental swing trade, ending the day with a gross profit of $250 (my goal for the week!). Also, I checked my weekly P&L and I actually ended this week with $860.50 gross profit and $740.84 net profit! Tomorrow I will rest because I've accomplished what I needed to (through God)!",Y
Opening Daily Reflection,11/6/23,10:43 AM,"Today I am sleepy and showing up super late to the market. Still, I'm excited! I want to focus on news this week and expanding my knowledge around trading best practices as I start designing & building The Fin Tea. My specific question is: ""How do I know when a financial instrument is in play and how can I find why it's in play?"" When a financial instrument isn't in play it's hard for me to trad it profitable. When it's in play it's easy for me to trade it profitably. So my initial question is: ""What happened last week that made the e-mini S&P 500 futures easy to trade?"" ",Y
News Update,11/6/23,10:56 AM,"https://www.federalreserve.gov/newsevents/pressreleases/monetary20231101a.htm – last week's bullish momentum on the e-mini S&P 500 futures was driven by the Fed's announcement on Nov 1 that they will maintain Federal Funds rate at 5-1/4-to 5-1/2%. Experts expected this. Somehow this also in part seems to have caused a decrease in Crude Light Oil futures prices and an Increase in Natural Gas futures prices, but I would argue that Natural Gas prices are up seasonally because it's cold now (need to verify). The Fed is selling its holdings of US Treasury Securities (bonds) and Agency debt/mortgage-backed securities (bonds) and has been announcing this. What will be the economic effect of wrapping up these bond sales? Who is buying them?  ",Y
/MES,11/6/23,11:01 AM,"MES is no longer in play on the daily chart (really low volume (388,000 so far relative to 898,000 on Friday, which was about average). MES is also back trading at supply with a current price of $4381. So the learning here is that I can't scale up right now! I can trade, but I can't scale up if MES isn't in play). I'm in tune! On the hourly chart price is flat and has remained flat at 4375-4380 since 11/3 @ 3pm. I was feeling lame and undisciplined for not waking up at 7am to trade this morning, but because of being in tune I didn't actually miss anything! There are no high-probability trades on MES right now. On the 15m chart, price is super choppy and would easily stop me out ",Y
/ES,11/6/23,11:16 AM,"Also, *patience*! Thursday was a really good trading day because God saved me and acknowledged my trust, letting go, and patience. While I was exhausted and sold the ES early due to emotional fatigue around $4325 instead of my original plan of $4340 and then my adjusted plan of $4331, price reached a high of $4333 on 11/2 @12pm so more patience would have netted me another $3000 in profit). That said, I'm grateful for the profit I received knowing that I also could have closed the daily easily at a $4000 loss! Also, observe that I was incredibly wrong about price returning to $4175 in the short-term, especially based on the news from the Fed that interest rate hikes have stopped for now. Instead of only basing cycles in price movement on technical analysis, the news informs the cause-effect relationships that determine the timeline of when cycles will be repeated. The S&P 500 dipping into correction territory plus bullish news from the Fed will keep the S&P 500 high for a while until economic conditions change again ",Y
/MCL,11/6/23,11:25 AM,"MCL is also not in play today. Price is holding at demand/support of $80/bbl. People keep saying news-wise that crude oil prices are going up because of supply tightening, but the reality of recent price movements doesn't reflect this. Price kind of head & shoulders'd. If price does fall through support at $80, we could see a retest of $78, then $74, and then $70. This week it's more likely to see price return to $85 before seeing another selling off back to $80",Y
/NG,11/6/23,11:41 AM,"Price gapped down from a close of 3.473 (per unit?) on 11/3/2023 to 3.373 today! So from a technical analysis perspective, without knowing why the gap down occurred, I'm expecting a gap up. I'll find news to see if supply of natural gas increased or if demand somehow decreased (unlikely because it's cold and people still need to eat!). Similar to crude oil futures, NG price is decreasing close to support/demand at 3.200 (3.216 precisely). Are they correlated? Intuitively it would make sense that there's some correlation between crude oil & natural gas because the same people tend to produce them (i.e. The industry is Oil & Gas, not the Oil industry and the Gas industry). NG is actually in play! On 1hr a nice selloff from 3.397 @5am  to 3.259 at 11am). Price has since cooled off at $3.253. Actually, not much activity on NG since 10:45 am  ",Y
/MYM,11/6/23,12:34 PM,Micro e-mini Dow Futures are also not in play today and are also oscillating in a very tight range at supply after an incredibly bullish week! ,Y
Closing Daily Reflection,11/6/23,12:39 PM,"More to learn! My initial  trading goal of $50/day / $250/week doesn't exactly make sense - it depends on market conditions. Trading is hunter-gathering, not 9-to-5. There are periods there are really big harvest opportunities like last week. And there are periods like today where there's no food (volume) in the market. I would have to force a trade to happen. There's even a weird gap down happening on the *15m chart* of MES because volume is so low. Knowing when to turn it on and turn it off is *key*!  ",Y
Opening Daily Reflection,11/7/23,10:05 AM,"Still sleepy today. (It's because of the emotional pain of wrapping things up with my ex-wife. The pain won't go away until her belongings are picked up & shipped back to France. Also, I need to get things notarized. Also, this is why I feel horny and in the mood for sex. It's because I feel like crap about the loss of love and feel (mistakenly) that a sexual act will heal the pain. It will distract me from the pain. It won't heal the pain. Only God can heal the pain. (Not to say that I shouldn't have sex (I should if I want to and can). It's just that the sex won't heal the pain, which is what I want.). I woke up at 7am! And yet I had reflections about what decisions to make regarding my trading journey (including The Fin Tea!) that I wanted to focus on for a bit. I recognize that my mindset has to change and is changing. People like Shay (humbled trader) are talking about how they made $10k in *one* trade that happened around 9am so there was still time to go to work (she's also working on bringing more people into financial markets to  prosper from the additional income that trading can give. It's the same as inviting more people to participate in doing real estate business. It's hard to motivate people to do these things because of the societal system in place of designed ignorance). My mindset is still on, ""How can I make $10k-$20k a month to pay my bills and still enjoy life?"" In reality, it's doable to breakthrough this limit and make $10k or more in a day if I desire it. Shay's friend/fellow 8-figure trader Lance spoke about 10 years having monthly trading profit targets of $60k, where he was risking at most $5k-10k a day. Be willing to have $60k profit months or $100k profit months or more. Don't let the mediocrity of society hold me back anymore. Think about it: What has the average 9-to-5 salary mindset and lifestyle brought me? I wasn't able to enjoy my passion for music early in my career and am just now getting back to it. I wasn't able to get a girlfriend for A LONG TIME so doing what everyone else is doing didn't help me romantically. I eventually found one girlfriend who almost rejected me. We got married and then she eventually abandoned me and we got divorced. I also wasn't able to spend time with my family because of time + financial constraints and also identity shifts. Not enough vacation time to see my family. Not enough financial resources to easily afford trips. And I lost the deep connection I had with my family members just to embrace a corporate identity that didn't me the identity, time, and money to do what I love to do in life.  On top of all of that, for most of my early career I had to show up to an office even though my actual work can be done from many locations. And in my previous role (9-to-5), even though I got paid a high salary I suffered from toxicity, energy depletion, and time poverty. I couldn't serve in the way I wanted at work. Most people did actually have small minds (even encouraging people to tap into their imagination to provide value instead of focusing on doing more bureaucracy was like impossible for them, which was sad). This was sad & frustrating to experience because I hadn't truly experienced small-minded-ness in my career until that role. It was like I sold out on all of the good spirit & identity of all that I loved from MIT, especially making the world a better place... and just for a little bit of money. I was too tired after to do what I love doing (e.g. Playing/Writing music, and reading! I actually reached a point of being too tired to read because of the job!). And people were often doing mean things to each other. So it wasn't much of a life. Yet, because of bad habits and identity reinforcement, I keep trying to go back to it in terms of my goals instead of surrounding myself with people, like Carmine, who are doing what I actual want to do, have been doing so for years, and do so full time! What is it socially that I'm trying to hold onto unconsciously that makes me so desperately want to bring people along from my old life instead of embracing my new life and being okay with journeying with new people or alone if I have to? ",Y
News Update,11/7/23,10:31 AM,"Most of the market is still not in play and trading in a very tight range after last week's bullish news. This is across MES, and MYM. Today MCL is tanking and fell through to $78 as I had planned for but didn't capture! Why is MCL down? The World Bank actually sees a decrease in oil prices as economic growth slows (less demand). They're targeting $81/bbl in 2024. The key events that could cause oil price to jump up to $100+/bbl again is if oil supply is cut off due to global conflicts such as what's happening between Israel & Hamas – https://www.reuters.com/markets/commodities/world-bank-sees-oil-lower-2024-wider-middle-east-war-could-spike-them-2023-10-30/#:~:text=The%20World%20Bank%20said%20on,could%20spike%20prices%20significantly%20higher. NG is tanking as well",Y
/MES,11/7/23,10:45 AM,"On the daily chart MES is holding at ~4390 (current price 4394.75). Price is slightly up from yesterday, but it's mostly holding at supply/resistance. On the 1hr chart, there was a nice bullish move from ~4370 to $4400 from 5am to 10am. If I had entered at 8am around 4380, I could have done a $100 trade (which is okay because I'm back to being scaled down). On the 15m chart, this bullish price movement didn't start until 9am. On 5m chart, price is trading in a narrow range",Y
/MCL,11/7/23,10:59 AM,"On the daily chart, price fell through $80 (as planned for yesterday). Price is now at $78 and I should prepare for a price move to $74. Went short for a lower price move towards $74. On the 1hr chart the sell off actually started at 12am. RSI is low at a ridiculous 17, but the bigger picture bearish trajectory of crude oil, without a global conflict that will disrupt supply, is clear. ",Y
/NG,11/7/23,11:10 AM,"On the daily chart, price is falling and has fallen through support at 3.216! I also planned for this yesterday! The next support/demand zone is at 2.939, even though price bounced at 3.099. Feels like price will sell off further. I should have set an automated sell order at 3.216 lol. On the hourly chart the big sell off happened at 6am and the bounce off 3.099 happened at 8am. On the 15m chart price is selling off again after reaching a high of 3.188 and will probably retest 3.099 soon. Current price is 3.146. Volume is really low at 198 contracts on 5m chart with peak volume at ~2200 at 9:45am today (need to watch out for this). I went short on NG at 3.141. I've never seen volume so low!",Y
Closing Daily Reflection,11/7/23,12:14 AM,"Today was another really good learning day! I ended the day with a gross profit of $61 (~$57 net profit) and brought my demo account back to a small net profit of $11.35. I CAN DO THIS! While the profits are great, it's really the learning & growth that motivate me. It's the pain! Like Lance Breitstein was saying. The *growth comes from pain*! That $1470 loss I suffered from an accidental trade brought me into a *Can't Hurt Me* state where being down a few dollars on MCL or down $60 on NG no longer phases me. That's what really excited me today more than the wins (even though I'm grateful to God for the wins because each win brings more freedom - freedom to serve God, freedom to create, and freedom to enjoy life!). A key question is: ""Can I endure something big (to me) like losing $120k on a trade within a few minutes and find it within myself to keep going?"" ""Can I be like Ray Dalio and lose my entire firm (millions of dollars) based on the economy recovering after former President Nixon reneged on the gold standard, having traded short that the economy would shrink, become so broken & defeated & humbled to have to borrow $4000 from my dad, and find it deep within myself to *keep going*?"" My trades today were of okay quality. I really liked that I checked the news on crude oil and saw that demand is decreasing as economic growth cools off. I also really liked learning that higher oil & gas prices increase food prices (inflation). Today I felt like the big picture trends of my trades were high quality and that my entrances & exits could be improved. My MCL entrance was good & my exit was premature because I became impatient (could have made ~$50 just on my MCL trade). My NG entrance was bad and my exit was good. I entered into NG at a balanced price level where the odds of price moving up or down are 50:50, which is bad (no edge). I should have waited for confirmation of the larger bearish trend. Having *patience* on this trade is what prevented me from stopping out at a $60 loss instead of closing at a $40 profit. Excited to *keep going* and to join Carmine's training and let go of my old identity that wasn't serving me well. It's the right time!",Y
Opening Daily Reflection,11/8/23,8:46 AM,"Today I feel slightly ill and have a mild fever. I'm starting to think that I might have covid (mostly because a bunch of people have covid right now). Still, I'm showing up. Although I might go back to sleep after doing market analysis this morning ",N
/MES,11/8/23,8:49 AM,"Price is back up to $4400. Current price is $4406. That said, price is still trading within a tight range. Yesterday's range was 4366 - 4403.50 (38 points). On 11/03, while significant bullish momentum was happening, price ranged from 4325.75 - 4391.75 (66 points) and very little wicking. On the 1hr chart, price is a bit choppier, with a bounce off 4387.50 to a high of 4407. Volume is back today! 15m chart shows bullish movement on a small scale although really price has been range trading over the past few days",Y
/MCL,11/8/23,9:02 AM,"MCL is still bearish yet it bounced off 75.86 on the daily chart. There's not a lot of volume. On the 1hr chart price has been trading in a tight range since yesterday at 6pm. Volume kicked in at 6am & 7am, a small $1 sell off followed by a $1 bullish reversal. On the 15m chart there's less of a clear direction",Y
/NG,11/8/23,9:10 AM,"Price is still on a bearish trend with a low of $3.076 and current price of 3.125. Although the bigger picture trend is that price is flat (price opened at 3.530 on April 12th for perspective (price was at this point on 11/3). Mind the gap that happened between 11/3 and 11/6. While price is bearish now, the gap up has already been set. On the 1hr chart, the bounce happened at 7am and went back to resistance of 3.179. A ton of volume at 8am with 20k+ contracts exchanged. There's more volume today in the market. 15m chart shows a sell off from a bullish engulfing candle at 8:30 am. Might see a sell-off back to $3100 ",Y
/MYM,11/8/23,9:26 AM,Price is trading in a super narrow range on the daily chart (true for the past few days). Current price 43255. Price is trading at supply (resistance). On the 1hr there was some bullish momentum yesterday at 9am. On 15m MYM is super choppy. I don't recommend trading the MYM today ,Y
/NG,11/8/23,9:31 AM,"Went short from 3.123 towards 3.100 because the previous candle hit resistance at a high of 3.127 and started selling off again. Observation: *time slows down after I enter a trade*! I'm on the 15m NG chart checking price movements and my anticipation after 1m is like, ""Why hasn't price reached 3.100 yet?!"" Lol ",Y
/NG,11/8/23,9:39 AM,"I botched the trade - I'm too tired right now. I closed early for a small profit of $80 instead of $200+ dollars so I can sleep. Price is now at 3.111 🙏. This was a bad trade because I lacked discipline on it. Remember also that NG is already scaled up so it's not the same as making $80 on 1 MCL contract, it's like making $8 on 1 MCL contract ",N
News Update,11/8/23,9:44 AM,"I didn't really feel like there were news updates to find today based on most of the market still trading in a narrow range. My feeling is that it's good to be aware of key events throughout the year such as FOMC meetings, OPEC meetings, global conflicts, pandemics, etc. and that these are not everday events ",N/A
Closing Daily Reflection,11/8/23,9:47 AM,Too tired to trade today. Going to rest. Would have made $200+ ($230) on my /NG trade if I had waited (price bounced off 3.102 just now). NG so far has been easier for me to trade than MCL because price action is clearer to me and price doesn't move as quickly. Keep going! Know that my NG entrance was good today. And be okay with tapping out today. Just like how I didn't run yesterday and might not do push ups today because I feel ill & tired. Know when to rest! I also want to start practicing trailing stops!,Y
Opening Daily Reflection,11/10/23,9:59 AM,"I'm back and mostly recovered from being sick and I'm feeling both extremely grateful about the journey as well as undisciplined. I'm still adjusting to *patience*. I feel grateful to God because Carmine Rosato has accepted me into his 4-week Live Trading Training 🙏. This tells me I'm on the right path to giving Financial Prosperity to 1M+ people in service of the Lord. I'm just as grateful that Yang & I are on this journey together and that Yang is someone who's a brilliant Data Engineer who's also excited about Trading, Investing, and contributing to society at scale through ESG, specifically social good 🙏. The Fin Tea is totally about social good in terms of increasing people's knowledge & skill within Trading & Investing (Financial Literacy) while deflating the learning curve. I'm just as grateful for the time spent with Huw and Perry yesterday because a little bit at a time, as we share energy, I'm growing into someone who can create & operate a company, which is an entirely separate skill set from creating technology that makes peoples lives easier within a specific domain. Now, I feel undisciplined (impatient) because I've been waking up really late this entire week, which is ironic because of the extra hour from Daylight Savings Time ending. I haven't worked out this week or ran. Yet I have to give myself grace (as God does) that I was (and maybe still am?) sick and also I'm still dealing with the emotional pain of wrapping up things with Gaelle. Removing her belongings from the closet and putting them in the living room to be shipped back to France really did rip off a bandaid on an old wound. *This is part of the healing process*. I have to remind myself that I'm doing a good job and that it's okay and good to *heal*. Sometimes *healing* requires having a day off to recover from being sick instead of pushing myself. Sometimes *healing* requires allowing myself to sleep & wake up when my body wants to. Sometimes *healing* requires accepting the times I give into sin as I fight to untangle where I am in life and what I truly want. Yesterday, while off from trading, was a beautiful day in terms of reflection on what I truly appreciate: *Service*. It helped me understand that some of my bad habits are tangled within the good of feeling truly served and appreciated! So the question is: How can I find more ways to feel truly served & appreciated within society in ways that are good for society and the community? Back to trading, I'll spend one more day in the simulator today and then Monday I'll return to trading live. I've had a really good two weeks of trading in the simulator that has helped me fix some of my mistakes and improve at trading. Time to get back in the arena!",Y
/MES,11/10/23,10:17 AM,MES is still range trading between 4354 and 4413 on the daily chart so I haven't missed much lol. Current price is 4391 There may be a good range trade - we'll see. 1hr chart showsa bounce at 5am off 4354 with significant price increase during 6am & 7am. 8am showed an indecisive doji candle followed by a small sell off at 9am. Price is currently up and heading back towards 4400. Will enter. Decided to wait for some reason (wicking). 15m chart shows a sell off starting to occur. Turns out there's resistance at 4390 from 11/9 at 10:30am. Volume is back! ,Y
/MCL,11/10/23,10:30 AM,"MCL reached a low of 75.21 yesterday! And current price is 77.12. Price is heading towards 74 from a bigger picture trend perspective. I really missed a larger sell off from where I drew demand. If I had gone short on 10/30 at $82 with a swing trade, I'd be up about $500 now, with 1 contract. 1hr chart shows resistance at 77.17 being retested. Price seems to be heading back up towards $80 - may go long. 15m chart is choppy but there's an overall bullish trend. Going long towards $80/bbl ",Y
/NG,11/10/23,10:36 AM,"NG is right in the middle of a sell of still, but there's momentum is slowing and showing signs of a reversal at a low of 2.989. NG has a weighted price of 3.014 right now on 1hr chart. Current price is 3.030 with a small sell off occuring from 3.077. The macro economics for natural gas is that it's cold so demand should be increasing even if supply is also increasing (which I'm pretty sure it's not). So I want to wait for signs (extra confirmation of a reversal) and ride price back to 3.120. The restest of 3.077 will be key. Pay attention because I could be wrong and this sell off could be continuing (gapping down) to 2.939 (mind the gap). If I go long and I'm wrong and price gaps down it would be a significant loss of $750. If I'm right, it would be an upside of $950. Need to wait on this one (or be okay with 3.030 to 3.077, which would be $400+). 15m chart shows that price is currently at support and 3.020. Same on 5m chart. Need to wait for confirmation ",Y
/MCL,11/10/23,10:37 AM,"Saw price went up *really* quickly and exited for a profit of $43 (net profit $42). I don't really play with MCL so when unusual things happen, I exit. That said, this was a great opportunity to apply a trailing stop (which I will learn about today!) ",Y
/MYM,11/10/23,10:57 AM,Current price 34082 and the Dow is still trading in a very tight range. 1hr chart is choppy with range from 33912 to 34128 (~$100). 15m shows price near resistance of 34128. There may be a sell off trade opportunity back towards 34018 (just above the close of the bullish momentum candle).,Y
Intra Daily Reflection,11/10/23,11:04 AM,"On the days/weeks when the market is moving more slowly, being active & ready to trade during market open becomes more important in terms of capturing larger price movements ",Y
/MES,11/10/23,11:09 AM,"Price is crawling towards $4400. I missed the trade, but the real trade started at 10am. Will price sell off back towards $4372?",Y
Intra Daily Reflection,11/10/23,11:30 AM,It's Veterans' Day! God bless our veterans for their service to us and the protection we've received from them! It makes sense that fewer people are trading today. This is the news! This is what the woman on Bumble I was speed-chatting with was talking about in terms of having Friday off!,Y
Trailing Stops!,11/10/23,1:25 PM,Breakthrough! And a few things to unpack here. Trailing stops are effective for trend/momentum trades with clear exits. THIS IS WHAT I WANTED WITH FCEL AND DIDN'T GRASP BACK THEN! Today's /MES plan is a good example (even though I didn't execute this trade). Say I had entered at 4380 at 10am and rode price to 4400. If I had set a trailing sell stop at 4400 instead of a regular sell stop at 4400 then there's a chance I would have exited at 4410 instead of 4400. I'll have to try/test this because Ninja Trader said that the default trailing stop is one tick at a time - not ideal because prices fluctuate multiple ticks all the time before there are signfiicant price movements. It's a recipe for a trade exit to occur consistently at the original price of the trailing stop. Need to test this and explore advanced trailing stops! Doe Ninja Trader have replay?,Y
Closing Daily Reflection,11/10/23,11:57 AM,"I'm calling it for the day and I feel good! Today was a really good trading day because I overcame my emotions. Even just a few minutes ago, I had FOMO around bullish price movement on MES. I missed my trade entrance mostly because I started my trading day late. If I had already done market analysis by 8am, then there would have been many more profitable trading opprotunities and I would have been able to enter MES at 10am around 4380 and run up to $4400 for a nice $100. What ended up happening is that by the time I saw price heading towards $4400, it was ~$4390 and the reward wasn't worth the risk. I didn't know and didn't plan for price to reach $4415. I planned for price reaching $4400 at supply and then probably selling back off a bit even though it was a bullish day. This was because there was a larger loop/price movement that MES completed at $4400. So despite wanting to enter at $4410 because price just kept going up, I acknowledged that I had no plan at that point and would have been winging it. My other main financial instruments didn't have a lot of volume & price movement today so I mostly didn't trade. I may add one more financial instrument to my trade list. I did one trade today and it was a good trade because I exited well based on intuition. I entered into MCL at 77.12 with the intention of riding the wave back to 80 (which I believe will happen by next week). Price shot up really fast and I know MCL doesn't tend to trade that way so I closed my trade for a nice gross profit of $43 and a net profit of $42. And I'm satisfied with that. What I'm not yet satisfied with is that I didn't learn how to do trailing stops in Ninja trader yet, which I'lll do now! Also, performance-wise, this week I earned $184 in gross profit and $170.16 net profit. This is good considering there was low market activity, knowing that I got sick and botched a trade I should have earned $230 on instead of $80, knowing that I allowed myself a day off to rest, and that Thursday I had mastermind activities plus also didn't trade to allow myself to recover! ",Y
Opening Daily Reflection,11/13/23,8:24 AM,"I'm ready to start the week again with live trades! Carmine really inspired me yesterday and I feel welcomed by the community! There are many people from Texas in the community which is a really good sign! Also, I'm excited to learn from Dylan this evening! I'm awake at a disciplined time to make high-quality trades today!",Y
